135,100,1
151,108,1
102,114,1
127,89,1
126,133,1
86,60,1
79,75,1
79,79,1
137,43,1
68,55,1
110,144,1
35,61,1
55,22,1
91,25,1
75,20,1
12,178,1
109,94,1
2,75,1
109,53,1
115,146,1
139,92,1
94,135,1
158,72,1
68,178,1
70,84,1
73,126,1
117,132,1
80,135,1
130,15,1
49,11,1
82,121,1
90,55,1
134,124,1
88,98,1
34,12,1
43,2,1
160,41,1
45,51,1
112,58,1
75,4,1
19,168,1
148,47,1
33,145,1
76,72,1
85,6,1
124,39,1
162,73,1
135,93,1
105,96,1
96,174,1
138,141,1
31,98,1
185,68,1
162,117,1
126,11,1
71,84,1
76,108,1
22,83,1
89,104,1
187,39,1
47,74,1
94,2,1
187,12,1
110,106,1
57,160,1
53,102,1
107,133,1
85,122,1
97,157,1
3,24,1
9,143,1
128,21,1
37,12,1
114,40,1
73,171,1
89,175,1
7,94,1
84,131,1
17,154,1
136,4,1
195,5,1
81,6,1
33,61,1
28,182,1
175,29,1
36,29,1
131,93,1
53,100,1
40,40,1
35,186,1
143,115,1
43,156,1
162,88,1
46,108,1
32,89,1
34,125,1
5,95,1
160,6,1
38,89,1
68,83,1
171,91,1
72,57,1
28,176,1
41,66,1
5,97,1
79,17,1
151,54,1
24,132,1
144,77,1
163,61,1
17,51,1
9,13,1
70,98,1
154,17,1
10,98,1
53,174,1
87,72,1
29,39,1
7,19,1
87,120,1
36,84,1
16,177,1
174,95,1
39,1,1
40,133,1
162,58,1
174,58,1
185,21,1
14,152,1
163,111,1
159,62,1
102,82,1
94,75,1
24,110,1
66,98,1
101,119,1
114,113,1
129,48,1
43,37,1
18,76,1
31,17,1
84,80,1
38,36,1
13,166,1
113,104,1
172,97,1
74,59,1
77,82,1
125,100,1
107,107,1
67,71,1
25,10,1
39,85,1
14,90,1
118,115,1
87,122,1
45,194,1
8,159,1
184,69,1
141,68,1
169,29,1
151,72,1
53,21,1
155,84,1
107,64,1
164,71,1
153,1,1
120,91,1
23,82,1
34,129,1
63,122,1
148,120,1
144,82,1
105,10,1
95,74,1
182,38,1
85,176,1
143,102,1
190,31,1
18,182,1
47,68,1
6,101,1
82,145,1
140,135,1
145,65,1
136,57,1
0,87,1
13,53,1
102,2,1
147,103,1
70,122,1
143,13,1
126,68,1
97,120,1
33,13,1
42,187,1
52,47,1
125,131,1
114,115,1
12,47,1
4,164,1
37,20,1
166,18,1
117,138,1
108,146,1
172,12,1
152,26,1
86,154,1
18,133,1
23,56,1
191,7,1
110,1,1
33,189,1
63,82,1
65,188,1
115,98,1
53,152,1
172,44,1
58,164,1
178,14,1
191,54,1
0,48,1
8,31,1
72,183,1
113,103,1
70,63,1
120,149,1
100,141,1
4,175,1
33,71,1
23,148,1
87,8,1
66,175,1
49,120,1
88,176,1
0,102,1
171,44,1
109,163,1
185,38,1
47,89,1
2,161,1
50,55,1
65,9,1
125,117,1
101,171,1
28,145,1
42,72,1
22,67,1
35,20,1
174,67,1
6,188,1
73,100,1
124,30,1
140,61,1
179,69,1
16,194,1
4,185,1
171,2,1
0,163,1
32,174,1
142,121,1
13,91,1
35,16,1
36,123,1
77,69,1
153,81,1
46,71,1
1,33,1
58,65,1
78,13,1
21,132,1
29,72,1
39,177,1
94,70,1
36,57,1
179,18,1
29,107,1
45,37,1
15,146,1
39,18,1
141,42,1
149,108,1
157,15,1
40,164,1
22,48,1
0,135,1
14,174,1
120,87,1
137,90,1
48,70,1
143,28,1
11,197,1
90,116,1
18,1,1
67,175,1
37,53,1
137,142,1
171,52,1
8,172,1
29,131,1
70,121,1
3,13,1
22,109,1
59,17,1
52,143,1
89,108,1
70,158,1
122,13,1
90,6,1
19,64,1
38,70,1
151,54,1
159,78,1
84,2,1
174,24,1
52,62,1
36,157,1
52,101,1
54,153,1
133,88,1
122,113,1
111,154,1
90,69,1
1,158,1
8,71,1
31,15,1
2,66,1
32,47,1
151,96,1
88,52,1
127,78,1
120,54,1
0,175,1
1,118,1
113,102,1
32,158,1
160,88,1
68,77,1
41,95,1
127,145,1
11,107,1
38,105,1
98,159,1
33,59,1
15,113,1
141,40,1
113,96,1
72,186,1
110,37,1
178,18,1
189,22,1
19,90,1
162,71,1
59,43,1
76,103,1
107,121,1
77,166,1
5,86,1
196,34,1
8,61,1
48,79,1
53,168,1
169,88,1
51,124,1
5,41,1
97,132,1
169,30,1
170,60,1
99,31,1
36,36,1
32,94,1
122,123,1
69,92,1
49,156,1
28,117,1
170,84,1
116,91,1
102,51,1
100,149,1
164,76,1
102,69,1
130,135,1
151,73,1
190,21,1
137,109,1
80,93,1
50,110,1
181,83,1
181,77,1
132,92,1
145,12,1
32,125,1
103,52,1
158,111,1
9,35,1
136,87,1
31,101,1
108,48,1
140,87,1
10,117,1
35,121,1
167,71,1
117,74,1
132,73,1
33,35,1
35,66,1
79,8,1
164,39,1
83,15,1
26,81,1
81,105,1
130,13,1
77,16,1
145,136,1
14,85,1
61,163,1
23,128,1
133,116,1
4,81,1
191,5,1
58,175,1
19,192,1
139,30,1
113,76,1
145,18,1
100,125,1
26,10,1
159,93,1
108,9,1
154,107,1
26,122,1
26,175,1
110,69,1
117,2,1
121,47,1
177,54,1
121,75,1
43,30,1
108,33,1
5,93,1
44,158,1
146,8,1
104,99,1
83,30,1
23,170,1
90,90,1
48,82,1
75,46,1
153,119,1
185,3,1
128,146,1
75,160,1
80,91,1
53,114,1
26,52,1
34,44,1
49,13,1
64,62,1
4,92,1
153,128,1
10,68,1
174,46,1
63,167,1
159,28,1
27,121,1
168,91,1
18,188,1
82,136,1
183,56,1
66,165,1
61,34,1
140,114,1
101,12,1
77,67,1
66,153,1
